Name,Team,Url,Type,ValueinCR,Full Name,Born,Age,National Side,Batting Style,Bowling,Sport,MatchPlayed,InningsBatted,NotOuts,RunsScored,HighestInnScore,100s,50s,4s,6s,BattingAVG,BattingS/R,CatchesTaken,StumpingsMade,Ducks,R/O,InningsBowled,Overs,Maidens,RunsConceded,Wickets,Best,3s,5s,BowlingAVG,EconomyRate,S/R,Mtc
Riyan Parag,RR,https://sports.ndtv.com/cricket/players/108566-riyan-parag-playerprofile,All-Rounder ,3.80,Riyan Parag,"November 10, 2001 Guwahati, Assam","20 Years, 4 Months, 5 Days",India,Right Handed,Leg break,IPL,30,23,3,339,50 v DC,0,1,29,12,16.95,118.53,12,0,3,2,15,22.1,0,221,3,1/7 v PBKS,0,0,73.66,9.96,44.33,15
Navdeep Saini,RR,https://sports.ndtv.com/cricket/players/64853-navdeep-amarjeet-saini-playerprofile,Bowler ,2.60,Navdeep Amarjeet Saini,"November 23, 1992 Karnal, Haryana","29 Years, 3 Months, 22 Days",India,Right Handed,Right-arm fast,IPL,28,6,3,31,12* v DC,0,0,3,0,10.33,88.57,6,0,1,0,28,97.4,1,828,17,2/24 v DC,0,0,48.70,8.47,34.47,28
Nathan Coulter-Nile,RR,https://sports.ndtv.com/cricket/players/1424-nathan-coulter-nile-playerprofile,Bowler ,2.00,Nathan Mitchell Coulter-Nile,"October 11, 1987 Osborne Park, Western Australia","34 Years, 5 Months, 5 Days",Australia,Right Handed,Right-arm fast,IPL,38,16,5,81,24* v PBKS,0,0,7,4,7.36,115.71,12,0,1,1,37,139.5,1,1052,48,4/14 v RR,5,0,21.91,7.52,17.47,37
James Neesham,RR,https://sports.ndtv.com/cricket/players/1441-james-neesham-playerprofile,All-Rounder ,1.50,James Douglas Sheahan Neesham,"September 17, 1990 Auckland","31 Years, 5 Months, 28 Days",New Zealand,Left Handed,Right-arm medium fast,IPL,12,8,1,61,22 v CSK,0,0,3,2,8.71,92.42,1,0,2,0,12,33,0,305,8,3/12 v RR,1,0,38.12,9.24,24.75,12
Karun Nair,RR,https://sports.ndtv.com/cricket/players/1708-karun-nair-playerprofile,Batsman ,1.40,Karun Kaladharan Nair,"December 6, 1991 Jodhpur, Rajasthan","30 Years, 3 Months, 10 Days",India,Right Handed,Off break,,73,66,5,1480,83* v SRH,0,10,160,39,24.26,128.36,22,0,3,1,,,,,,,,,,,,
Rassie van der Dussen,RR,https://sports.ndtv.com/cricket/players/1541-rassie-van-der-dussen-playerprofile,Batsman ,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obed McCoy,RR,https://sports.ndtv.com/cricket/players/110382-obed-mccoy-playerprofile,Bowler ,0.75,Obed Christopher McCoy,"January 4, 1997 ","25 Years, 2 Months, 11 Days",West Indies,Left Handed,Left-arm medium fast,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daryl Mitchell,RR,https://sports.ndtv.com/cricket/players/50709-daryl-joseph-mitchell-playerprofile,All-Rounder ,0.75,Daryl Joseph Mitchell,"May 20, 1991 Hamilton","30 Years, 9 Months, 27 Days",New Zealand,Right Handed,Right-arm medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KC Cariappa,RR,https://sports.ndtv.com/cricket/players/107051-kc-cariappa-playerprofile,Bowler ,0.30,Konganda Charamanna Cariappa,"April 13, 1994 Bangalore, Karnataka","27 Years, 11 Months, 2 Days",India,Right Handed,Leg break,IPL,11,5,2,24,12* v RCB,0,0,0,2,8.00,114.28,3,0,0,0,11,36,0,348,8,2/16 v RCB,0,0,43.50,9.66,27.00,11
Tejas Baroka,RR,https://sports.ndtv.com/cricket/players/107535-tejas-baroka-playerprofile,Bowler ,0.20,Tejas Singh Baroka,"February 1, 1996 Pondicherry","26 Years, 1 Months, 12 Days",India,Right Handed,Leg break googly,IPL,1,0,0,,,0,0,0,0,,0.00,,,0,0,1,3.3,0,33,0,0/33 v SRH,0,0,,9.42,,1
Kuldip Yadav,RR,https://sports.ndtv.com/cricket/players/108618-kuldip-yadav-playerprofile,Bowler ,0.20,Kuldip Yadav,"October 15, 1996 ","25 Years, 5 Months, 0 Days",India,Left Handed,Left-arm medium fast,IPL,1,1,1,0,0* v MI,0,0,0,0,,0.00,,,1,0,1,2,0,16,0,0/16 v MI,0,0,,8.00,,1
Dhruv Jurel,RR,https://sports.ndtv.com/cricket/players/112648-dhruv-jurel-playerprofile,Wicket-Keeper ,0.20,Dhruv Chand Jurel,"January 21, 2001 Agra, Uttar Pradesh","21 Years, 1 Months, 22 Days",India,Right Handed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuldeep Sen,RR,https://sports.ndtv.com/cricket/players/110603-kuldeep-sen-playerprofile,Bowler ,0.20,Kuldeep Rampal Sen,"October 22, 1996 Rewa, Madhya Pradesh, India","25 Years, 4 Months, 24 Days",India,Right Handed,Right-arm fast medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shubham Garhwal,RR,https://sports.ndtv.com/cricket/players/115354-shubham-garhwal-playerprofile,All-Rounder ,0.20,Shubham Shankar Garhwal,"May 14, 1995 Jodhpur, Rajasthan","26 Years, 10 Months, 2 Days",India,Left Handed,Slow left-arm orthodox,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anunay Singh,RR,https://sports.ndtv.com/cricket/players/115306-anunay-singh-playerprofile,All-Rounder ,0.20,Anunay Narayan Singh,"January 3, 1993 Vaishali, Bihar","29 Years, 2 Months, 12 Days",India,Right Handed,Right-arm medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virat Kohli,RCB,https://sports.ndtv.com/cricket/players/967-virat-kohli-playerprofile,Batsman ,15.00,Virat Kohli,"November 5, 1988 Delhi","33 Years, 4 Months, 10 Days",India,Right Handed,Right-arm medium,IPL,207,199,31,6283,113 v PBKS,5,42,546,210,37.39,129.94,84,0,6,7,26,41.5,0,368,4,2/25 v DCH,0,0,92.00,8.79,62.75,26
Glenn Maxwell,RCB,https://sports.ndtv.com/cricket/players/1423-glenn-maxwell-playerprofile,All-Rounder ,11.00,Glenn James Maxwell,"October 14, 1988 Kew, Melbourne, Victoria","33 Years, 5 Months, 1 Days",Australia,Right Handed,Off break,IPL,97,93,13,2018,95 v CSK,0,12,166,112,25.22,151.84,35,0,12,4,56,107,0,915,22,2/15 v RCB,0,0,41.59,8.55,29.18,56
Harshal Patel,RCB,https://sports.ndtv.com/cricket/players/1293-harshal-patel-playerprofile,All-Rounder ,10.75,Harshal Vikram Patel,"November 23, 1990 Sanand, Gujarat","31 Years, 3 Months, 22 Days",India,Right Handed,Right-arm medium,IPL,63,28,11,187,36* v CSK,0,0,11,11,11.00,134.53,15,0,9,3,61,210.4,0,1808,78,5/27 v MI,6,1,23.17,8.58,16.20,61
Wanindu Hasaranga,RCB,https://sports.ndtv.com/cricket/players/107713-wanidu-hasaranga-playerprofile,All-Rounder ,10.75,Pinnaduwage Wanindu Hasaranga De Silva,"July 29, 1997 Galle","24 Years, 7 Months, 17 Days",Sri Lanka,Right Handed,Leg break,IPL,2,2,1,1,1* v CSK,0,0,0,0,1.00,50.00,,,1,0,2,6,0,60,0,0/20 v KKR,0,0,,10.00,,2
Josh Hazlewood,RCB,https://sports.ndtv.com/cricket/players/1040-josh-hazlewood-playerprofile,Bowler ,7.75,Josh Reginald Hazlewood,"January 8, 1991 Tamworth, New South Wales, Australia","31 Years, 2 Months, 7 Days",Australia,Left Handed,Right-arm fast medium,IPL,12,0,0,,,0,0,0,0,,0.00,1,0,0,0,12,45,0,357,12,3/24 v SRH,1,0,29.75,7.93,22.50,12
Faf du Plessis,RCB,https://sports.ndtv.com/cricket/players/1579-faf-du-plessis-playerprofile,Batsman ,7.00,Francois du Plessis,"July 13, 1984 Pretoria, Transvaal","37 Years, 8 Months, 2 Days",South Africa,Right Handed,Leg break,IPL,100,93,9,2935,96 v PBKS,0,22,265,96,34.94,131.08,66,0,5,9,1,1,0,16,0,0/16 v DCH,0,0,,16.00,,1
Mohammed Siraj,RCB,https://sports.ndtv.com/cricket/players/107503-mohammed-siraj-playerprofile,Bowler ,7.00,Mohammed Siraj,"March 13, 1994 Hyderabad","28 Years, 0 Months, 2 Days",India,Right Handed,Right-arm medium fast,IPL,50,15,10,66,14 v RR,0,0,5,2,13.20,86.84,16,0,5,1,50,171.2,4,1437,50,4/32 v GL,3,0,28.74,8.38,20.56,50
Dinesh Karthik,RCB,https://sports.ndtv.com/cricket/players/666-dinesh-karthik-playerprofile,Wicket-Keeper ,5.50,Krishnakumar Dinesh Karthik,"June 1, 1985 Chennai, Tamil Nadu","36 Years, 9 Months, 14 Days",India,Right Handed,Off break,,213,192,35,4046,97* v RR,0,19,399,112,25.77,129.72,123,32,14,12,,,,,,,,,,,,
Anuj Rawat,RCB,https://sports.ndtv.com/cricket/players/108579-anuj-rawat-playerprofile,Wicket-Keeper ,3.40,Anuj Rawat,"October 17, 1999 Ram Nagar, Uttarakhand","22 Years, 5 Months, -1 Days",India,Left Handed,,,2,1,0,0,0 v KKR,0,0,0,0,0.00,0.00,3,0,1,0,,,,,,,,,,,,
Shahbaz Ahmed,RCB,https://sports.ndtv.com/cricket/players/51351-shahbaz-ahmed-playerprofile,All-Rounder ,2.40,Shahbaz Ahmed,"December 12, 1994 Mewat, Haryana","27 Years, 3 Months, 3 Days",India,Left Handed,Slow left-arm orthodox,IPL,13,8,1,60,14 v SRH,0,0,4,2,8.57,111.11,5,0,0,0,8,20,0,136,9,3/7 v SRH,1,0,15.11,6.80,13.33,8
David Willey,RCB,https://sports.ndtv.com/cricket/players/25633-dj-willey-playerprofile,All-Rounder ,2.00,David Jonathan Willey,"February 28, 1990 Northampton","32 Years, 0 Months, 15 Days",England,Left Handed,Left-arm fast medium,IPL,3,0,0,,,0,0,0,0,,0.00,2,0,0,0,3,10,0,95,2,1/24 v RCB,0,0,47.50,9.50,30.00,3
Sherfane Rutherford,RCB,https://sports.ndtv.com/cricket/players/110388-sherfane-rutherford-playerprofile,All-Rounder ,1.00,Sherfane Eviston Rutherford,"August 15, 1998 ","23 Years, 7 Months, 0 Days",West Indies,Left Handed,Right-arm fast medium,IPL,7,7,2,73,28* v RCB,0,0,2,7,14.60,135.18,5,0,0,0,6,6.5,0,59,1,1/6 v RCB,0,0,59.00,8.63,41.00,6
Mahipal Lomror,RCB,https://sports.ndtv.com/cricket/players/107234-mahipal-lomror-playerprofile,All-Rounder ,0.95,Mahipal Krishan Lomror,"November 16, 1999 Nagaur, Rajasthan","22 Years, 4 Months, 0 Days",India,Left Handed,Slow left-arm orthodox,IPL,11,10,2,181,47 v RCB,0,0,8,9,22.62,119.86,1,0,0,0,6,10,0,74,1,1/22 v SRH,0,0,74.00,7.40,60.00,6
Finn Allen,RCB,https://sports.ndtv.com/cricket/players/113428-finn-allen-playerprofile,Batsman ,0.80,Finnley Hugh Allen,"April 22, 1999 Auckland","22 Years, 10 Months, 24 Days",New Zealand,Right Handed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jason Behrendorff,RCB,https://sports.ndtv.com/cricket/players/1663-jason-behrendorff-playerprofile,Bowler ,0.75,Jason Paul Behrendorff,"April 20, 1990 Camden, New South Wales","31 Years, 10 Months, 25 Days",Australia,Right Handed,Left-arm fast medium,IPL,5,0,0,,,0,0,0,0,,0.00,,,0,0,5,19,0,165,5,2/22 v CSK,0,0,33.00,8.68,22.80,5
Siddarth Kaul,RCB,https://sports.ndtv.com/cricket/players/1699-siddarth-kaul-playerprofile,Bowler ,0.75,Siddarth Kaul,"May 19, 1990 Pathankot, Punjab","31 Years, 9 Months, 27 Days",India,Right Handed,Right-arm medium,IPL,54,12,8,20,7* v KKR,0,0,1,0,5.00,55.55,8,0,6,2,54,197.3,3,1696,58,4/29 v RPS,3,0,29.24,8.58,20.43,54
Karn Sharma,RCB,https://sports.ndtv.com/cricket/players/1245-karan-sharma-playerprofile,Bowler ,0.50,Karn Vinod Sharma,"October 23, 1987 Meerut, Uttar Pradesh","34 Years, 4 Months, 24 Days",India,Left Handed,Leg break googly,IPL,68,35,14,317,39* v CSK,0,0,18,14,15.09,115.69,14,0,2,3,66,203.4,1,1610,59,4/16 v KKR,2,0,27.28,7.90,20.71,66
Suyash Prabhudessai,RCB,https://sports.ndtv.com/cricket/players/110587-suyash-prabhudessai-playerprofile,All-Rounder ,0.30,Suyash S Prabhudessai,"December 6, 1997 ","24 Years, 3 Months, 9 Days",India,Right Handed,Right-arm medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chama Milind,RCB,https://sports.ndtv.com/cricket/players/64116-chama-v-milind-playerprofile,Bowler ,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aneeshwar Gautam,RCB,https://sports.ndtv.com/cricket/players/114974-aneeshwar-gautam-playerprofile,All-Rounder ,0.20,Aneeshwar Gautam Narendra,"January 16, 2003 Bengaluru, Karnataka","19 Years, 2 Months, -1 Days",India,Left Handed,Slow left-arm orthodox,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akash Deep,RCB,https://sports.ndtv.com/cricket/players/113443-akash-deep-playerprofile,Bowler ,0.20,Akash Deep,"December 15, 1996 Dehri, (Rotas), Bihar","25 Years, 3 Months, 0 Days",India,Right Handed,Right-arm medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luvnith Sisodia,RCB,https://sports.ndtv.com/cricket/players/115304-luvnith-sisodia-playerprofile,Wicket-Keeper ,0.20,Luvnith Sujith Sisodia,"January 15, 2000 Bangalore, Karnataka","22 Years, 2 Months, 1 Days",India,Left Handed,Left-arm medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rohit Sharma,MI,https://sports.ndtv.com/cricket/players/857-rohit-sharma-playerprofile,Batsman ,16.00,Rohit Gurunath Sharma,"April 30, 1987 Bansod, Nagpur, Maharashtra","34 Years, 10 Months, 16 Days",India,Right Handed,Off break,IPL,213,208,28,5611,109* v KKR,1,40,491,227,31.17,130.39,90,0,13,11,32,56.3,0,453,15,4/6 v MI,1,0,30.20,8.01,22.60,32
Ishan Kishan,MI,https://sports.ndtv.com/cricket/players/107047-ishan-kishan-playerprofile,Wicket-Keeper ,15.25,Ishan Pranav Kumar Pandey Kishan,"July 18, 1998 Patna, Bihar","23 Years, 7 Months, 28 Days",India,Left Handed,Left-arm medium,,61,56,5,1452,99 v RCB,0,9,121,74,28.47,136.33,19,2,5,5,,,,,,,,,,,,
Jasprit Bumrah,MI,https://sports.ndtv.com/cricket/players/1724-jasprit-bumrah-playerprofile,Bowler ,12.00,Jasprit Jasbirsingh Bumrah,"December 6, 1993 Ahmedabad","28 Years, 3 Months, 9 Days",India,Right Handed,Right-arm fast,IPL,106,20,15,56,16* v RPS,0,0,4,1,11.20,96.55,13,0,7,1,106,403.4,5,2997,130,4/14 v DC,14,0,23.05,7.42,18.63,106
Tim David,MI,https://sports.ndtv.com/cricket/players/111686-tim-david-playerprofile,All-Rounder ,8.25,Timothy Hays David,"March 16, 1996 ","26 Years, 0 Months, -1 Days",Singapore,Right Handed,Off break,,1,1,0,1,1 v CSK,0,0,0,0,1.00,33.33,,,0,0,,,,,,,,,,,,
Jofra Archer,MI,https://sports.ndtv.com/cricket/players/64664-jofra-archer-playerprofile,All-Rounder ,8.00,Jofra Chioke Archer,"April 1, 1995 Bridgetown, Barbados","26 Years, 11 Months, 15 Days",England,Right Handed,Right-arm fast,IPL,35,23,10,195,27* v CSK,0,0,11,14,15.00,157.25,9,0,5,1,35,137.3,2,981,46,3/15 v PBKS,6,0,21.32,7.13,17.93,35
Suryakumar Yadav,MI,https://sports.ndtv.com/cricket/players/1492-suryakumar-yadav-playerprofile,Batsman ,8.00,Suryakumar Ashok Yadav,"September 14, 1990 Mumbai, Maharashtra","31 Years, 6 Months, 1 Days",India,Right Handed,Right-arm medium,IPL,115,100,19,2341,82 v SRH,0,13,261,68,28.90,135.71,55,0,7,5,1,1,0,8,0,0/8 v DC,0,0,,8.00,,1
Kieron Pollard,MI,https://sports.ndtv.com/cricket/players/907-kieron-pollard-playerprofile,All-Rounder ,6.00,Kieron Adrian Pollard,"May 12, 1987 Tacarigua, Trinidad","34 Years, 10 Months, 4 Days",West Indies,Right Handed,Right-arm medium,IPL,178,160,51,3268,87* v CSK,0,16,212,214,29.98,149.77,96,0,8,4,101,234,0,2055,65,4/44 v RR,2,0,31.61,8.78,21.60,101
Dewald Brevis,MI,https://sports.ndtv.com/cricket/players/115001-dewald-brevis-playerprofile,Batsman ,3.00,Dewald Brevis,"April 29, 2003 Johannesburg","18 Years, 10 Months, 17 Days",South Africa,Right Handed,Leg break,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daniel Sams,MI,https://sports.ndtv.com/cricket/players/113155-daniel-sams-playerprofile,All-Rounder ,2.60,Daniel Richard Sams,"October 27, 1992 Milperra, New South Wales","29 Years, 4 Months, 19 Days",Australia,Right Handed,Left-arm fast medium,IPL,5,3,1,6,3* v DC,0,0,0,0,3.00,75.00,3,0,1,0,5,18,0,153,1,1/24 v PBKS,0,0,153.00,8.50,108.00,5
Tilak Varma,MI,https://sports.ndtv.com/cricket/players/112645-tilak-varma-playerprofile,All-Rounder ,1.70,Namboori Thakur Tilak Varma,"November 8, 2002 Hyderabad, Andhra Pradesh","19 Years, 4 Months, 7 Days",India,Left Handed,Off break,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Murugan Ashwin,MI,https://sports.ndtv.com/cricket/players/63773-murugan-ashwin-playerprofile,Bowler ,1.60,Murugan Ashwin,"September 8, 1990 Chennai, Tamil Nadu","31 Years, 6 Months, 7 Days",India,Right Handed,Leg break googly,IPL,34,8,2,23,9 v SRH,0,0,1,0,3.83,63.88,7,0,1,1,34,112,0,881,26,3/21 v RCB,2,0,33.88,7.86,25.84,34
Tymal Mills,MI,https://sports.ndtv.com/cricket/players/51462-tymal-solomon-mills-playerprofile,Bowler ,1.50,Tymal Solomon Mills,"August 12, 1992 Dewsbury, Yorkshire","29 Years, 7 Months, 3 Days",England,Right Handed,Left-arm fast,IPL,5,3,0,8,6 v SRH,0,0,0,1,2.66,72.72,1,0,1,0,5,17.5,0,153,5,2/31 v KKR,0,0,30.60,8.57,21.40,5
Jaydev Unadkat,MI,https://sports.ndtv.com/cricket/players/1298-jaydev-unadkat-playerprofile,Bowler ,1.30,Jaydev Dipakbhai Unadkat,"October 18, 1991 Porbandar","30 Years, 4 Months, 29 Days",India,Right Handed,Left-arm medium,IPL,86,21,12,105,26 v KKR,0,0,9,3,11.66,109.37,24,0,8,1,85,296,3,2588,85,5/25 v DC,5,2,30.44,8.74,20.89,85
Riley Meredith,MI,https://sports.ndtv.com/cricket/players/113157-riley-meredith-playerprofile,Bowler ,1.00,Riley Patrick Meredith,"June 21, 1996 Hobart, Tasmania","25 Years, 8 Months, 24 Days",Australia,Right Handed,Right-arm fast,IPL,5,1,1,0,0 v RR,0,0,0,0,,0.00,,,1,0,5,17,0,169,4,1/29 v RCB,0,0,42.25,9.94,25.50,5
Fabian Allen,MI,https://sports.ndtv.com/cricket/players/64663-fabian-allen-playerprofile,All-Rounder ,0.75,Fabian Anthony Allen,"May 7, 1995 Kingston, Jamaica","26 Years, 10 Months, 9 Days",West Indies,Right Handed,Slow left-arm orthodox,IPL,4,3,2,6,6 v SRH,0,0,0,0,6.00,50.00,2,0,2,0,3,11,1,90,1,1/22 v SRH,0,0,90.00,8.18,66.00,3
Mayank Markande,MI,https://sports.ndtv.com/cricket/players/108589-mayank-markande-playerprofile,Bowler ,0.65,Mayank Markande,"November 11, 1997 Bathinda, Punjab","24 Years, 4 Months, 4 Days",India,Right Handed,Leg break,IPL,18,8,5,27,7* v PBKS,0,0,3,0,9.00,93.10,3,0,2,0,18,53,0,453,16,4/23 v SRH,1,0,28.31,8.54,19.87,18
Sanjay Yadav,MI,https://sports.ndtv.com/cricket/players/107487-r-sanjay-yadav-playerprofile,All-Rounder ,0.50,Ramsingh Sanjay Yadav,"May 10, 1995 Gorakhpur, Uttar Pradesh","26 Years, 10 Months, 6 Days",India,Left Handed,Slow left-arm orthodox,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basil Thampi,MI,https://sports.ndtv.com/cricket/players/106722-basil-thampi-playerprofile,Bowler ,0.30,Basil Thampi,"September 11, 1993 Ernakulam, Kerala","28 Years, 6 Months, 4 Days",India,Right Handed,Right-arm fast medium,IPL,20,8,7,32,13* v SRH,0,0,1,1,32.00,91.42,4,0,2,0,20,70.5,0,694,17,3/29 v MI,1,0,40.82,9.79,25.00,20
Arjun Tendulkar,MI,https://sports.ndtv.com/cricket/players/106841-arjun-tendulkar-playerprofile,All-Rounder ,0.30,Arjun Sachin Tendulkar,"September 24, 1999 Mumbai","22 Years, 5 Months, 22 Days",India,Left Handed,Left-arm medium fast,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramandeep Singh,MI,https://sports.ndtv.com/cricket/players/108554-ramandeep-singh-playerprofile,All-Rounder ,0.20,Ramandeep Singh,"April 13, 1997 Chandigarh","24 Years, 11 Months, 2 Days",India,Right Handed,Right-arm medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anmolpreet Singh,MI,https://sports.ndtv.com/cricket/players/108576-anmolpreet-singh-playerprofile,Batsman ,0.20,Anmolpreet Singh,"March 28, 1998 Patiala, Punjab","23 Years, 11 Months, 18 Days",India,Right Handed,Off break,,1,1,0,16,16 v CSK,0,0,2,1,16.00,114.28,,,0,0,,,,,,,,,,,,
Aryan Juyal,MI,https://sports.ndtv.com/cricket/players/110596-aryan-juyal-playerprofile,Wicket-Keeper ,0.20,Aryan Juyal,"November 11, 2001 Moradabad, Uttar Pradesh","20 Years, 4 Months, 4 Days",India,Right Handed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
